seq,sigla,rnum,codigo
1.4.1,PE,78,73070
1.4.1,PE,79,73074
1.4.1,PE,80,73086
1.4.1,PE,81,73108
1.4.1,PE,82,73136
1.4.1,PE,83,73212
1.4.1,PE,84,73254
1.4.1,PE,85,73272
1.4.1,PE,86,73290
1.4.1,PE,87,73313
1.4.1,PE,88,73346
1.4.1,PE,89,73459
1.4.1,PE,90,73478
1.4.1,PE,91,73548
1.4.1,PE,92,73554
1.4.1,PE,93,73572
1.4.1,PE,94,73636
1.4.1,PE,95,73644
1.4.1,PE,96,73682
1.4.1,PE,97,73698
1.4.1,PE,98,73808
1.4.1,PE,99,73913
1.4.1,PE,100,73962
1.4.1,PE,101,73979
1.4.1,PE,102,73988
1.4.1,PE,103,74080
1.4.1,PE,104,74120
1.4.1,PE,105,74131
1.4.1,PE,106,74142
1.4.1,PE,107,74171
1.4.1,PE,108,74189
1.4.1,PE,109,74201
1.4.2,PE,110,66558
1.4.2,PE,111,66842
1.4.2,PE,112,66872
1.4.2,PE,113,72819
1.4.2,PE,114,72921
1.4.2,PE,115,72925
1.4.2,PE,116,73013
1.4.2,PE,117,73050
1.4.2,PE,118,73079
1.4.2,PE,119,73442
1.4.3,PE,120,66247
1.4.3,PE,121,66421
1.4.3,PE,122,66549
1.4.3,PE,123,66685
1.4.3,PE,124,66829
1.4.3,PE,125,72676
1.4.3,PE,126,72950
1.4.3,PE,127,73061
1.4.3,PE,128,73265
1.4.3,PE,129,73336
1.4.3,PE,130,73622
1.4.3,PE,131,73666
1.4.3,PE,132,73685
1.4.3,PE,133,73691
1.4.3,PE,134,73749
1.4.3,PE,135,73761
1.4.3,PE,136,73818
1.4.3,PE,137,73901
1.4.3,PE,138,74013
1.4.3,PE,139,74179
1.4.4,PE,140,66285
1.4.4,PE,141,66303
1.4.4,PE,142,66328
1.4.4,PE,143,66337
1.4.4,PE,144,66338
1.4.4,PE,145,66351
1.4.4,PE,146,66390
1.4.4,PE,147,66391
1.4.4,PE,148,66396
1.4.4,PE,149,66401
1.4.4,PE,150,66431
1.4.4,PE,151,66442
1.4.4,PE,152,66457
1.4.4,PE,153,66466
1.4.4,PE,154,66473
1.4.4,PE,155,66475
1.4.4,PE,156,66476
1.4.4,PE,157,66478
1.4.4,PE,158,66482
1.4.4,PE,159,66484
1.4.4,PE,160,66488
1.4.4,PE,161,66509
1.4.4,PE,162,66521
1.4.4,PE,163,66542
1.4.4,PE,164,66548
1.4.4,PE,165,66573
1.4.4,PE,166,66615
1.4.4,PE,167,66636
1.4.4,PE,168,66645
1.4.4,PE,169,66654
1.4.4,PE,170,66667
1.4.4,PE,171,66673
1.4.4,PE,172,66678
1.4.4,PE,173,66693
1.4.4,PE,174,66694
1.4.4,PE,175,66697
1.4.4,PE,176,66700
1.4.4,PE,177,66705
1.4.4,PE,178,66786
1.4.4,PE,179,66806
1.4.4,PE,180,66813
1.4.4,PE,181,66817
1.4.4,PE,182,66819
1.4.4,PE,183,66822
1.4.4,PE,184,66824
1.4.4,PE,185,66838
1.4.4,PE,186,66864
1.4.4,PE,187,66879
1.4.4,PE,188,66886
1.4.4,PE,189,66888
1.4.4,PE,190,66893
1.4.4,PE,191,71598
1.4.4,PE,192,71672
1.4.4,PE,193,71673
1.4.4,PE,194,72013
1.4.4,PE,195,72028
1.4.4,PE,196,72029
1.4.4,PE,197,72532
1.4.4,PE,198,72540
1.4.4,PE,199,72613
1.4.4,PE,200,72614
1.4.4,PE,201,72639
1.4.4,PE,202,72674
1.4.4,PE,203,72711
1.4.4,PE,204,72713
1.4.4,PE,205,72881
1.4.4,PE,206,72892
1.4.4,PE,207,72920
1.4.4,PE,208,72980
1.4.4,PE,209,73016
1.4.4,PE,210,73030
1.4.4,PE,211,73033
1.4.4,PE,212,73041
1.4.4,PE,213,73056
1.4.4,PE,214,73092
1.4.4,PE,215,73109
1.4.4,PE,216,73117
1.4.4,PE,217,73160
1.4.4,PE,218,73162
1.4.4,PE,219,73170
1.4.4,PE,220,73374
1.4.4,PE,221,73404
1.4.4,PE,222,73453
1.4.4,PE,223,73467
1.4.4,PE,224,73477
1.4.4,PE,225,73531
1.4.4,PE,226,73587
1.4.4,PE,227,73590
1.4.4,PE,228,73591
1.4.4,PE,229,73596
1.4.4,PE,230,73626
1.4.4,PE,231,73675
1.4.4,PE,232,73677
1.4.4,PE,233,73683
1.4.4,PE,234,73700
1.4.4,PE,235,73730
1.4.4,PE,236,73731
1.4.4,PE,237,73733
1.4.4,PE,238,73746
1.4.4,PE,239,73767
1.4.4,PE,240,73869
1.4.4,PE,241,73937
1.4.4,PE,242,74014
1.4.4,PE,243,74016
1.4.4,PE,244,74049
1.4.4,PE,245,74055
1.4.4,PE,246,74213
1.4.4,PE,247,74232
1.4.4,PE,248,74245
1.4.4,PE,249,74255
1.4.4,PE,250,74320
1.4.4,PE,251,74388
1.4.4,PE,252,74389
1.4.4,PE,253,74394
1.4.5,PE,254,66316
1.4.5,PE,255,66376
1.4.5,PE,256,66506
1.4.5,PE,257,66569
1.4.5,PE,258,66577
1.4.5,PE,259,66592
1.4.5,PE,260,66617
1.4.5,PE,261,66622
1.4.5,PE,262,66655
1.4.5,PE,263,66664
1.4.5,PE,264,66669
1.4.5,PE,265,66672
1.4.5,PE,266,66695
1.4.5,PE,267,66723
1.4.5,PE,268,66776
1.4.5,PE,269,66802
1.4.5,PE,270,66814
1.4.5,PE,271,66843
1.4.5,PE,272,66853
1.4.5,PE,273,66877
1.4.5,PE,274,66896
1.4.5,PE,275,71702
1.4.5,PE,276,71890
