autor,name_full,n,codigos
elisa esteves rossini,Elisa Esteves Rossini,2,"{""74014"": 7, ""74030"": 4}"
elisa lima alvez,Elisa Lima Alvez,1,"{""73317"": 1}"
elisama de moura rodrigues leite,Elisama de Moura Rodrigues Leite,1,"{""66785"": 1}"
elisa martins das neves de albuquerque,Elisa Martins das Neves de Albuquerque,2,"{""66617"": 3, ""66622"": 3}"
elisa mieko. s. higa,Elisa Mieko S. Higa,1,"{""72678"": 6}"
elisa mieko suemitsu higa,Elisa Mieko Suemitsu Higa,1,"{""72726"": 8}"
elisa ms higa,Elisa Ms Higa,1,"{""68817"": 8}"
elisangela correa pereira,Elisângela Corrêa Pereira,1,"{""66771"": 2}"
elisangela milhomem dos santos,Elisângela Milhomem dos Santos,7,"{""73095"": 4, ""73162"": 4, ""73267"": 6, ""73467"": 4, ""73477"": 4, ""73642"": 4, ""73654"": 5}"
elisa oliveira marsicano,Elisa Oliveira Marsicano,1,"{""66663"": 2}"
elisa ruiz fulber,Elisa Ruiz Fulber,1,"{""72733"": 4}"
elissa oliveira da fonseca,Elissa Oliveira da Fonseca,1,"{""73160"": 2}"
elizabete goes da silva,Elizabete Góes da Silva,1,"{""66595"": 4}"
elizabeth de fracesco daher,Elizabeth de Fracesco Daher,2,"{""66830"": 8, ""66879"": 8}"
elizabeth de francesco daher,Elizabeth de Francesco Daher,25,"{""66489"": 6, ""66495"": 8, ""66500"": 6, ""66546"": 1, ""66574"": 3, ""66600"": 8, ""66618"": 8, ""66619"": 7, ""66624"": 8, ""66631"": 8, ""66632"": 8, ""66633"": 8, ""66638"": 8, ""66665"": 8, ""66671"": 8, ""66674"": 8, ""66681"": 8, ""66685"": 8, ""66693"": 8, ""66716"": 8, ""66721"": 8, ""66760"": 7, ""66761"": 4, ""66823"": 8, ""66878"": 8}"
elizabeth mendonca de jesus,Elizabeth Mendonça de Jesus,1,"{""72532"": 5}"
elizabeth regina maccariello,Elizabeth Regina Maccariello,1,"{""66607"": 4}"
elizangela maria silva freitas,Elizângela Maria Silva Freitas,1,"{""73606"": 6}"
elizete keitel,Elizete Keitel,2,"{""68572"": 8, ""72630"": 8}"
elton jonh freitas santos,Elton Jonh Freitas Santos,9,"{""66398"": 6, ""66539"": 7, ""66540"": 7, ""66561"": 7, ""66563"": 5, ""66575"": 5, ""66759"": 6, ""72823"": 2, ""73162"": 5}"
elzo ribeiro jr,Elzo Ribeiro Jr,1,"{""73682"": 4}"
elzo ribeiro jr.,Elzo Ribeiro Jr ,1,"{""73698"": 4}"
emanuela eudes da silva dias,Emanuela Eudes da Silva Dias,1,"{""72699"": 3}"
emanuela mendes junqueira de barros,Emanuela Mendes Junqueira de Barros,1,"{""71890"": 2}"
emanuele poliana lawall gravina,Emanuele Poliana Lawall Gravina,3,"{""66276"": 4, ""66413"": 2, ""66455"": 2}"
emanuelle de araujo viana,Emanuelle de Araújo Viana,1,"{""66645"": 3}"
emanuel pinheiro esposito,Emanuel Pinheiro Espósito,11,"{""66423"": 8, ""66426"": 7, ""66429"": 7, ""66433"": 7, ""66435"": 7, ""66436"": 7, ""66438"": 7, ""66582"": 3, ""66634"": 4, ""72676"": 6, ""72881"": 5}"
emerson quintino de lima,Emerson Quintino de Lima,2,"{""73024"": 5, ""73879"": 7}"
emilia carvalho miranda,Emilia Carvalho Miranda,1,"{""74250"": 7}"
emiliana spadarotto sertorio,Emiliana Spadarotto Sertório,1,"{""73317"": 2}"
emili augustini lovatel,Emili Augustini Lovatel,1,"{""66535"": 6}"
emille santos de souza,Êmille Santos de Souza,1,"{""73453"": 3}"
emmanuel burdmann,Emmanuel Burdmann,1,"{""72708"": 6}"
emmanuel de almeida burdmann,Emmanuel de Almeida Burdmann,4,"{""73146"": 2, ""73292"": 8, ""73532"": 6, ""73543"": 6}"
enio simas macedo,Ênio Simas Macedo,4,"{""66631"": 4, ""66638"": 4, ""66685"": 4, ""66830"": 3}"
enrique antonio covarrubias loayza,Enrique Antonio Covarrubias Loayza,1,"{""66481"": 4}"
enzo prandi de carvalho,Enzo Prandi de Carvalho,1,"{""66532"": 2}"
epitacio rafael luz neto,Epitácio Rafael Luz Neto,4,"{""66664"": 3, ""66672"": 6, ""66802"": 6, ""66843"": 5}"
erica adelina guimaraes,Érica Adelina Guimarães,2,"{""73578"": 6, ""73639"": 4}"
erica a guimaraes,Erica A. Guimarães,1,"{""73808"": 3}"
erica batista dos santos galvao de melo,Érica Batista dos Santos Galvão de Melo,3,"{""66351"": 1, ""66352"": 2, ""66385"": 2}"
erica bsg melo,Erica Bsg Melo,1,"{""66386"": 2}"
erica lofrano reghine,Érica Lofrano Reghine,2,"{""66474"": 6, ""73490"": 5}"
eric aragao correa,Eric Aragão Corrêa,1,"{""73313"": 1}"
erick george roberto ferreira,Erick George Roberto Ferreira,1,"{""66680"": 7}"
erick rocha,Erick Rocha,1,"{""73675"": 4}"
ericks parra barbosa,Ericks Parra Barbosa,1,"{""74014"": 5}"
eric rafael andrade silva,Eric Rafael Andrade Silva,1,"{""66537"": 3}"
eric rosa pereira,Eric Rosa Pereira,2,"{""70094"": 3, ""73172"": 8}"
ericson cavalcanti gouveia,Ericson Cavalcanti Gouveia,2,"{""72742"": 6, ""72822"": 5}"
erika arai furusawa,Erika Arai Furusawa,1,"{""74160"": 3}"
erika cristina ribeiro de lima carneiro,Erika Cristina Ribeiro de Lima Carneiro,2,"{""66539"": 5, ""73108"": 5}"
erika leticia passos nascimento,Erika Letícia Passos Nascimento,1,"{""73689"": 1}"
erika leticia p. nascimento,Érika Leticia P. Nascimento,3,"{""73548"": 3, ""73554"": 4, ""73636"": 3}"
erika verissimo dias,Erika Veríssimo Dias,1,"{""73746"": 3}"
erllon menezes,Erllon Menezes,1,"{""66640"": 6}"
eryca thais oliveira dos santos,Eryca Thaís Oliveira dos Santos,2,"{""70660"": 4, ""71598"": 2}"
estefany queiroz olivares,Estéfany Queiroz Olivares,1,"{""66402"": 1}"
estela cristina giglio de sousa,Estela Cristina Giglio de Sousa,1,"{""66519"": 2}"
esther barbarioli fantin fundao,Esther Barbarioli Fantin Fundão,1,"{""66457"": 3}"
ethel vieira luna mayerhoff,Ethel Vieira Luna Mayerhoff,2,"{""73238"": 1, ""73695"": 2}"
eubrando silveste oliveira,Eubrando Silveste Oliveira,1,"{""72996"": 7}"
eufronio d'almeida filho,Eufrônio D'Almeida Filho,2,"{""73133"": 4, ""73134"": 4}"
eufronio jose dalmeida filho,Eufronio Jose DAlmeida Filho,1,"{""72897"": 2}"
eugenia filizola salmito machado,Eugênia Filizola Salmito Machado,1,"{""72980"": 5}"
euler pace lasmar,Euler Pace Lasmar,2,"{""73544"": 8, ""73805"": 8}"
euler roque oliveira,Euler Roque Oliveira,1,"{""66388"": 4}"
euradir vitorio angeli junior,Euradir Vitório Angeli Junior,1,"{""66532"": 4}"
eurita vieira neta,Eurita Vieira Neta,1,"{""66456"": 4}"
evandro guilherme luz souza,Evandro Guilherme Luz Souza,1,"{""74014"": 6}"
evandro mendes klumb,Evandro Mendes Klumb,3,"{""66617"": 4, ""66622"": 5, ""66695"": 4}"
evandro reis da silva filho,Evandro Reis da Silva Filho,1,"{""73442"": 6}"
evelyn lascowski,Evelyn Lascowski,1,"{""72980"": 8}"
evelyn raquel lascowski coelho,Evelyn Raquel Lascowski Coelho,1,"{""72794"": 2}"
eveny jara de brito damasceno,Éveny Jara de Brito Damasceno,1,"{""66603"": 3}"
everaldo de souza otoni neto,Everaldo de Souza Otoni Neto,2,"{""66582"": 2, ""66812"": 5}"
everaldo nery de andrade,Everaldo Nery de Andrade,2,"{""72976"": 6, ""72979"": 5}"
everlayny fioroti costalonga,Everlayny Fioroti Costalonga,1,"{""66580"": 7}"
fabiana baggio nerbass,Fabiana Baggio Nerbass,5,"{""73474"": 4, ""73475"": 3, ""73478"": 2, ""73481"": 6, ""73744"": 4}"
fabiana cristina barros torres,Fabiana Cristina Barros Torres,1,"{""66645"": 1}"
fabiana de souza bebber,Fabiana de Souza Bebber,1,"{""66698"": 3}"
fabiana fadel ribeiro,Fabiana Fadel Ribeiro,2,"{""66390"": 4, ""66391"": 6}"
fabiana gatti menezes,Fabiana Gatti Menezes,1,"{""66536"": 4}"
fabiana rodrigues hernandes,Fabiana Rodrigues Hernandes,1,"{""73708"": 3}"
fabiana rorigues hernandes,Fabiana Rorigues Hernandes,1,"{""66835"": 5}"
fabiani sampaio zardini bonno,Fabiani Sampaio Zardini Bonno,1,"{""73109"": 3}"
fabiano bichuette custodio,Fabiano Bichuette Custodio,4,"{""66428"": 5, ""66506"": 4, ""66507"": 3, ""74085"": 5}"
fabiano custodio bichuette,Fabiano Custodio Bichuette,1,"{""66776"": 5}"
fabiano fernandes silva,Fabiano Fernandes Silva,1,"{""66724"": 5}"
fabiano pinto saggioro,Fabiano Pinto Saggioro,1,"{""73737"": 4}"
fabio andre jorge de sousa,Fabio André Jorge de Sousa,1,"{""73897"": 4}"
fabio augusto silva vieira,Fábio Augusto Silva Vieira,1,"{""66388"": 1}"
fabio carvalho,Fábio Carvalho,1,"{""73960"": 4}"
fabio de sousa lima,Fábio de Sousa Lima,1,"{""73117"": 6}"
fabio dutra,Fábio Dutra,1,"{""66386"": 7}"
fabio farias pereira,Fabio Farias Pereira,1,"{""66548"": 3}"
fabio humberto ribeiro paes ferraz,Fabio Humberto Ribeiro Paes Ferraz,2,"{""72947"": 1, ""72952"": 1}"
fabiola giordani,Fabíola Giordani,2,"{""73160"": 3, ""73170"": 7}"
fabiola l padovan,Fabiola L. Padovan,1,"{""73052"": 7}"
fabiola pansani maniglia,Fabíola Pansani Maniglia,1,"{""66390"": 8}"
fabio lima queiroga,Fábio Lima Queiroga,1,"{""66316"": 3}"
fabio novais,Fábio Novais,1,"{""73906"": 8}"
fabio padilha,Fabio Padilha,1,"{""66869"": 2}"
fabricio guimaraes bino,Fabricio Guimarães Bino,2,"{""66481"": 5, ""73695"": 4}"
fabricio lessa lorenzi,Fabrício Lessa Lorenzi,4,"{""72661"": 3, ""72662"": 3, ""72711"": 2, ""72713"": 2}"
fabricio sciammarella barros,Fabrício Sciammarella Barros,2,"{""66276"": 1, ""66413"": 4}"
fatima candelaria de cassia mariotto borges de salles,Fátima Candelária de Cássia Mariotto Borges de Salles,1,"{""73313"": 6}"
federica collino,Federica Collino,1,"{""66701"": 2}"
felipe alves paste,Felipe Alves Paste,1,"{""73877"": 2}"
felipe aparecido pereira veloso,Felipe Aparecido Pereira Veloso,1,"{""66550"": 4}"
felipe costa sampaio octaviano,Felipe Costa Sampaio Octaviano,1,"{""74124"": 1}"
felipe gravos palandri,Felipe Gravos Palandri,1,"{""73326"": 3}"
felipe hering padovanni,Felipe Hering Padovanni,2,"{""72977"": 7, ""72978"": 8}"
felipe kaezer dos santos,Felipe Kaezer dos Santos,2,"{""66688"": 3, ""66874"": 3}"
felipe leite guedes,Felipe Leite Guedes,1,"{""70607"": 2}"
felipe lima santos,Felipe Lima Santos,1,"{""66492"": 4}"
felipe luan lima da silva,Felipe Luan Lima da Silva,1,"{""72881"": 4}"
felipe marques,Felipe Marques,1,"{""73238"": 5}"
felipe marques de moraes,Felipe Marques de Moraes,1,"{""66247"": 4}"
felipe martins do valle,Felipe Martins do Valle,2,"{""66455"": 3, ""66793"": 3}"
felipe vieira santana,Felipe Vieira Santana,1,"{""74360"": 6}"
fellype carvalho barreto,Fellype Carvalho Barreto,2,"{""73558"": 7, ""74245"": 8}"
fellype de carvalho barreto,Fellype de Carvalho Barreto,2,"{""66853"": 8, ""72626"": 8}"
fernanda andrade macaferri da fonseca,Fernanda Andrade Macaferri da Fonseca,1,"{""73093"": 4}"
fernanda badiani roberto,Fernanda Badiani Roberto,4,"{""73036"": 1, ""73038"": 3, ""73490"": 1, ""73494"": 2}"
fernanda baldotto,Fernanda Baldotto,1,"{""66577"": 6}"
fernanda boechat machado costa pires,Fernanda Boechat Machado Costa Pires,3,"{""66488"": 6, ""66749"": 5, ""73388"": 8}"
fernanda bresciani,Fernanda Bresciani,2,"{""73717"": 2, ""74242"": 2}"
fernanda camelo sanchez,Fernanda Camelo Sanchez,1,"{""66871"": 6}"
fernanda cecilia dias chula,Fernanda Cecília Dias Chula,1,"{""66646"": 8}"
fernanda de castro nascimento,Fernanda de Castro Nascimento,1,"{""73449"": 2}"
fernanda dos santos pereira,Fernanda dos Santos Pereira,1,"{""72630"": 6}"
fernanda ismaela rolim teixeira,Fernanda Ismaela Rolim Teixeira,1,"{""66858"": 1}"
fernanda lima,Fernanda Lima,3,"{""72992"": 6, ""73056"": 3, ""73346"": 5}"
fernanda lise.,Fernanda Lise ,1,"{""74388"": 5}"
fernanda luisa lopes braga,Fernanda Luísa Lopes Braga,1,"{""73641"": 8}"
fernanda macedo de oliveira neves,Fernanda Macedo de Oliveira Neves,3,"{""66571"": 6, ""66604"": 6, ""73807"": 2}"
fernanda marcelino de rezende e silva,Fernanda Marcelino de Rezende e Silva,1,"{""66819"": 8}"
fernanda moreira,Fernanda Moreira,1,"{""72955"": 1}"
fernanda moreira freitas,Fernanda Moreira Freitas,1,"{""66526"": 3}"
fernanda oliveira coelho,Fernanda Oliveira Coelho,1,"{""66702"": 5}"
fernanda pascuotte,Fernanda Pascuotte,2,"{""66579"": 1, ""66585"": 2}"
fernanda pereira santos,Fernanda Pereira Santos,2,"{""73641"": 6, ""73699"": 6}"
fernanda sa leal de moura,Fernanda Sá Leal de Moura,1,"{""66526"": 1}"
fernanda salomao gorayeb-polacchini,Fernanda Salomao Gorayeb-Polacchini,1,"{""74158"": 8}"
fernanda siqueira viana,Fernanda Siqueira Viana,1,"{""72750"": 2}"
fernanda teixeira borges,Fernanda Teixeira Borges,2,"{""73728"": 7, ""73733"": 8}"
fernanda trani ferreira,Fernanda Trani Ferreira,1,"{""73808"": 1}"
fernando antonio basile colugnati,Fernando Antonio Basile Colugnati,2,"{""66663"": 3, ""66675"": 5}"
fernando antonio de almeida,Fernando Antonio de Almeida,1,"{""73285"": 1}"
fernando antonio de araujo moura,Fernando Antônio de Araújo Moura,1,"{""70607"": 4}"
fernando baldissera piovesan,Fernando Baldissera Piovesan,1,"{""73683"": 2}"
fernando bellissimo-rodrigues,Fernando Bellissimo-Rodrigues,1,"{""66467"": 7}"
fernando ceretta,Fernando Ceretta,1,"{""73767"": 2}"
fernando das merces de lucas junior,Fernando das Mercês de Lucas Júnior,1,"{""66550"": 7}"
fernando de oliveira resquetti,Fernando de Oliveira Resquetti,1,"{""66869"": 3}"
fernando dos santos oliveira,Fernando dos Santos Oliveira,2,"{""66550"": 6, ""66724"": 4}"
fernando hooper neto,Fernando Hooper Neto,2,"{""73641"": 5, ""73699"": 5}"
fernando jose villar nogueira paes,Fernando José Villar Nogueira Paes,1,"{""66425"": 1}"
fernando kok,Fernando Kok,1,"{""73093"": 3}"
fernando luis affonso fonseca,Fernando Luis Affonso Fonseca,1,"{""72907"": 3}"
fernando meyer,Fernando Meyer,1,"{""66698"": 5}"
filipe andre schifino santos jardim,Filipe André Schifino Santos Jardim,1,"{""73322"": 6}"
filipe maset fernandes,Filipe Maset Fernandes,1,"{""66547"": 7}"
fillipe dantas pinheiro,Fillipe Dantas Pinheiro,1,"{""72969"": 5}"
flaminius mendes junior,Flaminius Mendes Júnior,1,"{""66451"": 5}"
flavia barros de azevedo,Flávia Barros de Azevedo,1,"{""73292"": 2}"
flavia carvalho leao reis,Flavia Carvalho Leão Reis,3,"{""73544"": 1, ""73903"": 5, ""73926"": 5}"
flavia cortez colosimo,Flavia Cortez Colosimo,2,"{""66547"": 5, ""66570"": 7}"
flavia hosana de macedo cuoco,Flávia Hosana de Macedo Cuoco,1,"{""66501"": 1}"
flavia leao,Flávia Leão,1,"{""73805"": 1}"
flavia leticia carvalho goncalves,Flávia Letícia Carvalho Gonçalves,1,"{""73622"": 1}"
flavia silva reis medeiros,Flavia Silva Reis Medeiros,1,"{""73901"": 7}"
flavia tozzatto capdeville,Flávia Tozzatto Capdeville,1,"{""74075"": 5}"
flavia valerio cunha,Flavia Valerio Cunha,1,"{""72607"": 6}"
flavio henrique martins de oliveira souza,Flavio Henrique Martins de Oliveira Souza,1,"{""66869"": 6}"
flavio j de paula,Flávio J. de Paula,1,"{""73877"": 6}"
flavio morgado,Flávio Morgado,1,"{""66536"": 5}"
flavio ronzani,Flavio Ronzani,1,"{""73700"": 5}"
flavio teles,Flávio Teles,1,"{""72540"": 3}"
flavio teles de farias filho,Flávio Teles de Farias Filho,2,"{""70660"": 5, ""73261"": 6}"
florisvaldo de carvalho lira,Florisvaldo de Carvalho Lira,1,"{""73962"": 1}"
francelino cruz,Francelino Cruz,1,"{""73056"": 2}"
francesca bonomini,Francesca Bonomini,2,"{""72734"": 5, ""72735"": 5}"
frances valeria costa e silva,Frances Valéria Costa e Silva,6,"{""66404"": 2, ""66405"": 6, ""66680"": 4, ""66688"": 4, ""66874"": 2, ""73172"": 3}"
francico helio de oliveira junior,Francico Helio de Oliveira Junior,1,"{""72907"": 4}"
franciele moreira barbosa,Franciele Moreira Barbosa,1,"{""66710"": 1}"
francine brambate carvalhinho lemos,Francine Brambate Carvalhinho Lemos,1,"{""68572"": 5}"
francineide pereira da silva pena,Francineide Pereira da Silva Pena,2,"{""73590"": 3, ""73677"": 3}"
francine simone mendonca da silva,Francine Simone Mendonça da Silva,1,"{""72697"": 6}"
francinne machado ribeiro,Francinne Machado Ribeiro,2,"{""66617"": 2, ""66622"": 2}"
francisca lillyan christyan nunes beserra,Francisca Lillyan Christyan Nunes Beserra,1,"{""66830"": 6}"
francisco aglalberto lourenco da silva filho,Francisco Aglalberto Lourenço da Silva Filho,1,"{""66442"": 6}"
francisco caetano rosa neto,Francisco Caetano Rosa Neto,3,"{""73092"": 7, ""73685"": 2, ""73792"": 5}"
francisco das chagas monteiro junior,Francisco das Chagas Monteiro Junior,1,"{""73095"": 6}"
francisco de assis costa silva,Francisco de Assis Costa Silva,10,"{""66679"": 8, ""66684"": 5, ""66691"": 3, ""66696"": 1, ""66700"": 7, ""66705"": 1, ""66717"": 7, ""66722"": 3, ""66728"": 7, ""66801"": 6}"
francisco de paula paranhos neto,Francisco de Paula Paranhos Neto,1,"{""72691"": 5}"
francisco diego do nascimento,Francisco Diego do Nascimento,1,"{""66650"": 7}"
francisco edson vasconcelos,Francisco Edson Vasconcelos,1,"{""73782"": 7}"
francisco eduardo sanford moreira filho,Francisco Eduardo Sanford Moreira Filho,2,"{""66387"": 4, ""66817"": 5}"
francisco erivan lucas,Francisco Erivan Lucas,1,"{""73011"": 1}"
francisco evanilson silva braga,Francisco Evanilson Silva Braga,2,"{""66676"": 4, ""66704"": 2}"
francisco italo rodrigues lima,Francisco Ítalo Rodrigues Lima,1,"{""66425"": 3}"
francisco jairon moraes da silva,Francisco Jairon Moraes da Silva,1,"{""72987"": 7}"
francisco jose maia pinto,Francisco José Maia Pinto,1,"{""66641"": 4}"
francisco jose verissimo veronose,Francisco Jose Verissimo Veronose,1,"{""66736"": 4}"
francisco jose werneck de carvalho,Francisco José Werneck de Carvalho,2,"{""66337"": 1, ""66338"": 1}"
francisco lucas bonfim loureiro,Francisco Lucas Bonfim Loureiro,1,"{""73897"": 7}"
francisco moretti duch,Francisco Moretti Duch,1,"{""73055"": 2}"
francisco rasiah ladchumananandasivam,Francisco Rasiah Ladchumananandasivam,1,"{""66877"": 7}"
francisco roberto lello santos,Francisco Roberto Lello Santos,1,"{""71890"": 6}"
francisco thiago santos salmito,Francisco Thiago Santos Salmito,10,"{""66285"": 6, ""66286"": 6, ""66328"": 7, ""66548"": 2, ""66551"": 7, ""66636"": 1, ""66650"": 1, ""66676"": 6, ""66704"": 6, ""73290"": 2}"
francisco verissimo veronese,Francisco Veríssimo Veronese,4,"{""72630"": 1, ""72733"": 1, ""72734"": 8, ""72735"": 8}"
frank gregory cavalcante da silva,Frank Gregory Cavalcante da Silva,1,"{""73901"": 2}"
frank gregory cavalvanti da silva,Frank Gregory Cavalvanti da Silva,1,"{""73373"": 4}"
frederico antonio e silva,Frederico Antônio e Silva,3,"{""66408"": 5, ""66613"": 7, ""66773"": 5}"
frederico castelo branco cavalcanti,Frederico Castelo Branco Cavalcanti,2,"{""66827"": 3, ""66837"": 2}"
frederico fontes orengo,Frederico Fontes Orengo,1,"{""66316"": 1}"
frederico ruzany,Frederico Ruzany,4,"{""72830"": 6, ""72897"": 5, ""73133"": 5, ""73134"": 5}"
friedhelm hildebrandt,Friedhelm Hildebrandt,1,"{""73052"": 5}"
gabriela a campos,Gabriela A. Campos,1,"{""73056"": 4}"
gabriela araujo campos,Gabriela Araújo Campos,1,"{""73695"": 3}"
gabriela arruda falcao de souza leao,Gabriela Arruda Falcão de Souza Leão,1,"{""72822"": 8}"
gabriela bataglini araujo,Gabriela Bataglini Araújo,1,"{""74006"": 5}"
gabriela bohnen,Gabriela Bohnen,1,"{""66652"": 3}"
gabriela clariza,Gabriela Clariza,1,"{""73520"": 2}"
gabriel adelar maranhao,Gabriel Adelar Maranhão,1,"{""72537"": 2}"
gabriela farias gurgel,Gabriela Farias Gurgel,1,"{""66566"": 3}"
gabriela ferreira dias,Gabriela Ferreira Dias,1,"{""66652"": 1}"
gabriela freire bezerra,Gabriela Freire Bezerra,3,"{""66574"": 4, ""66600"": 5, ""66619"": 1}"
gabriela lacreta,Gabriela Lacreta,1,"{""66838"": 1}"
gabriela martinez,Gabriela Martínez,2,"{""71672"": 1, ""71673"": 1}"
gabriela moura freitas,Gabriela Moura Freitas,2,"{""72947"": 8, ""72952"": 5}"
gabriel araujo pereira,Gabriel Araújo Pereira,4,"{""66387"": 6, ""66473"": 2, ""66485"": 7, ""66817"": 1}"
gabriela sevignani,Gabriela Sevignani,4,"{""66838"": 3, ""66853"": 1, ""66864"": 3, ""72626"": 7}"
gabriela silva martinez,Gabriela Silva Martínez,2,"{""71672"": 2, ""71673"": 2}"
gabriela silva morbeck santos,Gabriela Silva Morbeck Santos,1,"{""72969"": 3}"
gabriela sobral vieira,Gabriela Sobral Vieira,1,"{""72956"": 8}"
gabriela studart galdino,Gabriela Studart Galdino,3,"{""66631"": 1, ""66638"": 1, ""66823"": 1}"
gabriela sudre lacerda,Gabriela Sudré Lacerda,2,"{""73687"": 4, ""73705"": 4}"
gabriela teixeira araujo,Gabriela Teixeira Araujo,2,"{""73883"": 7, ""74265"": 7}"
gabriela teodoro machado,Gabriela Teodoro Machado,1,"{""73963"": 7}"
gabriel bittencourt braga,Gabriel Bittencourt Braga,2,"{""73775"": 6, ""73782"": 5}"
gabriel castro tavares,Gabriel Castro Tavares,1,"{""66380"": 7}"
gabriel da costa soares,Gabriel da Costa Soares,14,"{""66423"": 5, ""66424"": 3, ""66426"": 5, ""66429"": 4, ""66431"": 5, ""66432"": 1, ""66433"": 4, ""66434"": 1, ""66435"": 6, ""66436"": 6, ""66438"": 5, ""66634"": 5, ""66810"": 4, ""72881"": 8}"
gabriel de magalhaes freitas,Gabriel de Magalhães Freitas,1,"{""66889"": 3}"
gabriele zanirati,Gabriele Zanirati,1,"{""66725"": 6}"
gabriel felipe neves de lima,Gabriel Felipe Neves de Lima,1,"{""73167"": 8}"
gabriel figueiredo,Gabriel Figueiredo,2,"{""66510"": 5, ""66512"": 5}"
gabriel giollo rivelli,Gabriel Giollo Rivelli,1,"{""73828"": 3}"
gabriel henrique effio solis,Gabriel Henrique Effio Solis,1,"{""73023"": 3}"
gabriel joelsons,Gabriel Joelsons,1,"{""73204"": 4}"
gabriel jose de souza oliveira pinheiro,Gabriel José de Souza Oliveira Pinheiro,2,"{""66676"": 1, ""66704"": 1}"
gabriella pires tarcia,Gabriella Pires Tarcia,2,"{""66741"": 3, ""66834"": 8}"
gabriella santarem pereira,Gabriella Santarém Pereira,1,"{""73811"": 3}"
gabrielle da silva vargas silva,Gabrielle da Silva Vargas Silva,2,"{""66844"": 4, ""66863"": 2}"
gabrielle helena costa valerio,Gabrielle Helena Costa Valério,1,"{""72949"": 3}"
gabrielli zanotto de oliveira,Gabrielli Zanotto de Oliveira,2,"{""73717"": 1, ""74242"": 1}"
gabriel maia diniz,Gabriel Maia Diniz,2,"{""73272"": 4, ""73290"": 3}"
gabriel mendes dos santos,Gabriel Mendes dos Santos,1,"{""66484"": 4}"
gabriel miranda de senna figueiredo,Gabriel Miranda de Senna Figueiredo,1,"{""66451"": 3}"
gabriel ricardo conceicao silva goncalves,Gabriel Ricardo Conceição Silva Gonçalves,2,"{""66560"": 4, ""73809"": 1}"
gabriel simoes de freitas galvao,Gabriel Simões de Freitas Galvão,1,"{""73304"": 6}"
gabriel teixeira montezuma sales,Gabriel Teixeira Montezuma Sales,1,"{""74394"": 1}"
gaia favero,Gaia Favero,2,"{""72734"": 2, ""72735"": 3}"
gary petingola,Gary Petingola,1,"{""74124"": 2}"
gdayllon cavalcante meneses,Gdayllon Cavalcante Meneses,12,"{""66489"": 3, ""66546"": 2, ""66574"": 2, ""66600"": 3, ""66619"": 3, ""66631"": 3, ""66632"": 6, ""66665"": 3, ""66671"": 2, ""66685"": 5, ""66878"": 7, ""66879"": 4}"
geiane alves dos santos,Geiane Alves dos Santos,1,"{""73016"": 5}"
genesson s. barreto,Genesson S. Barreto,2,"{""66678"": 5, ""66786"": 5}"
genival viana de oliveira junior,Genival Viana de Oliveira Júnior,1,"{""74014"": 4}"
georgia alcantara alencar melo,Geórgia Alcântara Alencar Melo,2,"{""73746"": 7, ""74255"": 7}"
geovanna oliveira pires,Geovanna Oliveira Pires,1,"{""73708"": 1}"
geraldo bezerra da silva junior,Geraldo Bezerra da Silva Júnior,24,"{""66387"": 1, ""66396"": 8, ""66399"": 8, ""66401"": 1, ""66442"": 8, ""66473"": 8, ""66475"": 8, ""66476"": 1, ""66485"": 1, ""66487"": 1, ""66489"": 1, ""66511"": 8, ""66574"": 7, ""66600"": 4, ""66619"": 6, ""66638"": 7, ""66665"": 1, ""66721"": 7, ""66817"": 8, ""66822"": 6, ""66823"": 7, ""66879"": 7, ""73421"": 6, ""73730"": 7}"
geraldo gileno de sa oliveira,Geraldo Gileno de Sá Oliveira,1,"{""73565"": 2}"
germana alves brito,Germana Alves Brito,1,"{""73536"": 4}"
germana alves de brito,Germana Alves de Brito,1,"{""73652"": 3}"
germana brito,Germana Brito,1,"{""73626"": 7}"
gerson lopes,Gerson Lopes,1,"{""74120"": 3}"
gerson marques pereira junior,Gerson Marques Pereira Júnior,5,"{""72667"": 7, ""72902"": 2, ""73913"": 2, ""76560"": 3, ""76566"": 3}"
gessica ferreira da silveira,Gessica Ferreira da Silveira,1,"{""73326"": 4}"
gessika marcelo gomes,Géssika Marcelo Gomes,2,"{""66804"": 3, ""73906"": 5}"
gessika marcelos gomes,Gessika Marcelos Gomes,1,"{""66808"": 5}"
giane favretto,Giane Favretto,2,"{""66559"": 1, ""66576"": 4}"
gianna carolina pereira cavalli,Gianna Carolina Pereira Cavalli,2,"{""72947"": 5, ""72952"": 3}"
gianna mastroianni kirsztajn,Gianna Mastroianni Kirsztajn,7,"{""72921"": 6, ""72941"": 6, ""73036"": 7, ""73038"": 2, ""73490"": 8, ""73494"": 8, ""73671"": 3}"
gilberto gamber gaspar,Gilberto Gamber Gaspar,1,"{""66556"": 2}"
gilberto loiola de alencar dantas,Gilberto Loiola de Alencar Dantas,2,"{""66440"": 5, ""66441"": 4}"
gilberto medeiros viana neto,Gilberto Medeiros Viana Neto,1,"{""66501"": 2}"
gilcivania lustoza santos,Gilcivânia Lustoza Santos,1,"{""66645"": 2}"
gilmara silveira da silva,Gilmara Silveira da Silva,2,"{""66547"": 4, ""66570"": 6}"
gilson biagini,Gilson Biagini,1,"{""73558"": 1}"
gilson righetti filho,Gilson Righetti Filho,1,"{""73346"": 4}"
