autor,name_full,n,codigos
aline araujo padinha lages,Aline Araújo Padinha Lages,1,"{""74110"": 4}"
aline cecy rocha de lima,Aline Cecy Rocha de Lima,1,"{""73505"": 2}"
aline coelho schwart,Aline Coelho Schwart,2,"{""71672"": 4, ""71673"": 4}"
aline costa rodrigues,Aline Costa Rodrigues,1,"{""73000"": 4}"
aline cunha lima alcantara,Aline Cunha Lima Alcântara,1,"{""66636"": 6}"
aline de oliveira biancamano sevilha,Aline de Oliveira Biancamano Sevilha,5,"{""72932"": 7, ""72933"": 4, ""73020"": 8, ""73254"": 5, ""73265"": 3}"
aline gimenez guerra,Aline Gimenez Guerra,1,"{""74066"": 1}"
aline leal cortes,Aline Leal Cortês,2,"{""66533"": 2, ""72918"": 2}"
aline lourenco baptista,Aline Lourenço Baptista,2,"{""73536"": 7, ""73652"": 5}"
aline mendes santos pereira,Aline Mendes Santos Pereira,1,"{""73035"": 2}"
aline miroski de abreu,Aline Miroski de Abreu,2,"{""66542"": 1, ""66545"": 2}"
aline moreira mota,Aline Moreira Mota,3,"{""66729"": 5, ""66857"": 5, ""73272"": 2}"
aline pontara soares,Aline Pontara Soares,1,"{""66702"": 6}"
aline ribeiro moreira,Aline Ribeiro Moreira,1,"{""66585"": 7}"
aline sharlon maciel batista ramos,Aline Sharlon Maciel Batista Ramos,1,"{""74069"": 8}"
aline silva de aguiar,Aline Silva de Aguiar,1,"{""66836"": 5}"
aline silva ross,Aline Silva Ross,1,"{""73045"": 7}"
aline stollmeier,Aline Stollmeier,1,"{""73086"": 4}"
aline tsuma gaedke nomura,Aline Tsuma Gaedke Nomura,1,"{""66710"": 8}"
aline vieira scarlatelli lima,Aline Vieira Scarlatelli Lima,1,"{""66564"": 3}"
alinie da silva pichone,Alinie da Silva Pichone,3,"{""66222"": 3, ""66247"": 7, ""66421"": 2}"
alisson hideki fukuyama,Alisson Hideki Fukuyama,1,"{""72626"": 3}"
allan b. massie,Allan B. Massie,2,"{""73220"": 2, ""73224"": 2}"
allysson wosley de sousa lima,Allysson Wosley de Sousa Lima,6,"{""66886"": 3, ""66888"": 2, ""66890"": 3, ""66892"": 1, ""66893"": 2, ""73526"": 1}"
aloisio vieira silva,Aloísio Vieira Silva,1,"{""66655"": 4}"
alonso de sa ribeiro aymore,Alonso de Sa Ribeiro Aymore,1,"{""71702"": 2}"
aluizio barbosa carvalho,Aluizio Barbosa Carvalho,1,"{""66549"": 6}"
aluizio barbosa de carvalho,Aluizio Barbosa de Carvalho,2,"{""73708"": 8, ""73749"": 5}"
alvaro modesto borela,Alvaro Modesto Borela,1,"{""66562"": 5}"
alvaro pacheco e silva filho,Alvaro Pacheco e Silva Filho,1,"{""73740"": 6}"
alvaro pacheco-silva,Álvaro Pacheco-Silva,3,"{""73073"": 8, ""73520"": 7, ""73523"": 4}"
amalia de fatima lucena,Amália de Fátima Lucena,1,"{""66710"": 3}"
amanda agostini nogueira,Amanda Agostini Nogueira,1,"{""72925"": 1}"
amanda andrada viana,Amanda Andrada Viana,2,"{""66664"": 6, ""66843"": 4}"
amanda cardoso berensztejn,Amanda Cardoso Berensztejn,1,"{""66303"": 5}"
amanda carolina damasceno zanuto guerra,Amanda Carolina Damasceno Zanuto Guerra,1,"{""73050"": 2}"
amanda do livramento,Amanda do Livramento,1,"{""66554"": 8}"
amanda do vale monteiro,Amanda do Vale Monteiro,5,"{""72667"": 3, ""73913"": 1, ""74140"": 2, ""76560"": 7, ""76566"": 6}"
amanda ferreira da silva,Amanda Ferreira da Silva,1,"{""74098"": 5}"
amanda orlando reis,Amanda Orlando Reis,3,"{""73136"": 5, ""73139"": 2, ""73147"": 1}"
amanda ribeiro campos,Amanda Ribeiro Campos,1,"{""66819"": 3}"
amanda rodriguez da silva,Amanda Rodriguez da Silva,1,"{""73261"": 5}"
amandha lml bittencourt,Amandha Lml Bittencourt,1,"{""73749"": 1}"
amandha luysa martins leal bittencourt,Amandha Luysa Martins Leal Bittencourt,1,"{""66549"": 5}"
amauri francisco de marchi bemfica,Amauri Francisco de Marchi Bemfica,1,"{""66585"": 5}"
amelia cristina mendes de magalhaes,Amélia Cristina Mendes de Magalhães,2,"{""72969"": 6, ""72979"": 6}"
ana afif mateus sarquis queiroz,Ana Afif Mateus Sarquis Queiroz,3,"{""66485"": 5, ""66489"": 5, ""66511"": 6}"
ana beatriz,Ana Beatriz,2,"{""73133"": 1, ""73134"": 1}"
ana beatriz b. n. martins,Ana Beatriz B. N. Martins,1,"{""73041"": 4}"
ana beatriz bulhoes nogueira martins,Ana Beatriz Bulhões Nogueira Martins,1,"{""66247"": 2}"
ana beatriz da costa guerreiro,Ana Beatriz da Costa Guerreiro,2,"{""66676"": 2, ""66704"": 4}"
ana beatriz gibaile freitas de mattos,Ana Beatriz Gibaile Freitas de Mattos,1,"{""72013"": 2}"
ana beatriz gonzales bittar santos,Ana Beatriz Gonzales Bittar Santos,2,"{""66390"": 6, ""66391"": 3}"
ana beatriz lesqueves barra,Ana Beatriz Lesqueves Barra,1,"{""72897"": 1}"
ana beatriz monteiro fonseca,Ana Beatriz Monteiro Fonseca,1,"{""73987"": 7}"
anabela malho guedes,Anabela Malho Guedes,1,"{""73988"": 1}"
ana carine goersch silva,Ana Carine Goersch Silva,2,"{""66444"": 6, ""66765"": 2}"
ana carla de medeiros porto,Ana Carla de Medeiros Porto,1,"{""66877"": 1}"
ana carla de oliveira,Ana Carla de Oliveira,1,"{""66413"": 5}"
ana carla novaes sobral bentes,Ana Carla Novaes Sobral Bentes,3,"{""66473"": 7, ""66485"": 4, ""66511"": 2}"
ana carola hebbia lobo messa,Ana Carola Hebbia Lobo Messa,1,"{""73093"": 2}"
ana carolina constantino medina,Ana Carolina Constantino Medina,1,"{""66620"": 2}"
ana carolina dias campos,Ana Carolina Dias Campos,1,"{""73954"": 5}"
ana carolina ferreira netto cardoso,Ana Carolina Ferreira Netto Cardoso,1,"{""66486"": 4}"
ana carolina fioravanti eilert da silva,Ana Carolina Fioravanti Eilert da Silva,1,"{""66710"": 4}"
ana carolina leite ribeiro,Ana Carolina Leite Ribeiro,1,"{""66488"": 1}"
ana carolina lima de oliveira,Ana Carolina Lima de Oliveira,1,"{""66380"": 1}"
ana carolina magalhaes de araujo tolentino,Ana Carolina Magalhães de Araújo Tolentino,3,"{""66432"": 5, ""66810"": 8, ""72881"": 6}"
ana carolina nakamura tome,Ana Carolina Nakamura Tome,5,"{""73024"": 1, ""73879"": 6, ""73908"": 2, ""74158"": 4, ""74340"": 1}"
ana carolina parahyba asfor,Ana Carolina Parahyba Asfor,2,"{""66674"": 3, ""66852"": 2}"
ana carolina pereira diaz andre,Ana Carolina Pereira Diaz André,2,"{""66626"": 4, ""66711"": 3}"
